epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5546.26,1.67902,3.57669,1.68209,0.86973,0.88234,0.92611,0.42688,1.86732,2.38254,1.39812,0.0670059,0.000333274,0.000333274
2,10460.7,1.53331,2.93555,1.55778,0.90895,0.89333,0.93965,0.65235,1.1618,1.58714,1.06323,0.0340015,0.000662207,0.000662207
3,15167.6,1.47547,2.67749,1.5068,0.91267,0.90174,0.93928,0.64298,1.14981,1.4657,1.02718,0.000992704,0.000986741,0.000986741
4,20154.4,1.42541,2.49712,1.46953,0.9382,0.92063,0.96189,0.70289,1.01612,1.29787,0.98198,0.0009802,0.0009802,0.0009802
5,25380,1.38408,2.3643,1.43519,0.94061,0.93375,0.96344,0.68391,1.08328,1.27812,1.00138,0.0009736,0.0009736,0.0009736
6,30174,1.36282,2.28873,1.42066,0.93985,0.9422,0.96953,0.72548,0.97913,1.18421,0.96456,0.000967,0.000967,0.000967
7,34957.3,1.33639,2.22155,1.40204,0.95504,0.93659,0.97797,0.73201,0.9713,1.08959,0.96099,0.0009604,0.0009604,0.0009604
8,39770.8,1.30857,2.16154,1.38591,0.94855,0.9431,0.97805,0.73634,0.95632,1.08366,0.94952,0.0009538,0.0009538,0.0009538
9,44457.1,1.29386,2.09313,1.3736,0.94823,0.94488,0.97889,0.76976,0.86606,1.03833,0.92995,0.0009472,0.0009472,0.0009472
10,49124.6,1.27982,2.05806,1.36069,0.95235,0.94263,0.97826,0.75144,0.89692,1.0181,0.9272,0.0009406,0.0009406,0.0009406
11,53819.7,1.27057,2.02641,1.35483,0.96001,0.94744,0.97906,0.77532,0.83463,0.99235,0.90915,0.000934,0.000934,0.000934
12,58497.4,1.26289,2.00777,1.35235,0.95719,0.94915,0.98262,0.79398,0.79529,0.95895,0.8986,0.0009274,0.0009274,0.0009274
13,63324.1,1.2425,1.96574,1.33809,0.96127,0.94437,0.98339,0.79928,0.77432,0.93174,0.89379,0.0009208,0.0009208,0.0009208
14,68150.9,1.22956,1.93143,1.32735,0.95961,0.95875,0.98613,0.81369,0.73238,0.89925,0.88967,0.0009142,0.0009142,0.0009142
15,72770.1,1.22381,1.89904,1.32341,0.94979,0.96875,0.98825,0.79973,0.76646,0.88481,0.88698,0.0009076,0.0009076,0.0009076
16,77531.4,1.21886,1.89495,1.31891,0.96411,0.95379,0.98555,0.83099,0.66998,0.84944,0.86798,0.000901,0.000901,0.000901
1,5145.76,1.67902,3.57669,1.68209,0.86973,0.88234,0.92611,0.42688,1.86732,2.38254,1.39812,0.0670059,0.000333274,0.000333274
2,10048.4,1.53769,2.95096,1.56275,0.90472,0.89724,0.93913,0.65309,1.15594,1.61069,1.07256,0.0339993,0.000660008,0.000660008
3,15094.1,1.4682,2.68696,1.5074,0.91579,0.87125,0.93467,0.69709,0.94063,1.47197,0.97935,0.000986105,0.000980142,0.000980142
4,19914.4,1.42013,2.50062,1.47114,0.91891,0.93035,0.96526,0.68571,1.10416,1.31448,1.00955,0.0009703,0.0009703,0.0009703
5,24706.3,1.37743,2.35877,1.43375,0.93523,0.93875,0.9679,0.70827,1.00073,1.22481,0.97301,0.0009604,0.0009604,0.0009604
6,29422.1,1.35709,2.27674,1.41913,0.94236,0.93646,0.97132,0.7434,0.89893,1.14458,0.94389,0.0009505,0.0009505,0.0009505
7,34236.4,1.34089,2.21798,1.40936,0.92863,0.94535,0.97657,0.76144,0.86063,1.09088,0.92919,0.0009406,0.0009406,0.0009406
8,38983.1,1.31291,2.16479,1.39148,0.94202,0.95375,0.97834,0.73823,0.93023,1.084,0.94081,0.0009307,0.0009307,0.0009307
9,43771.5,1.29844,2.09391,1.37708,0.94182,0.94063,0.97881,0.76359,0.86822,1.05259,0.92472,0.0009208,0.0009208,0.0009208
10,48538.7,1.2822,2.0545,1.36148,0.95838,0.95125,0.98205,0.77543,0.82092,1.00184,0.90579,0.0009109,0.0009109,0.0009109
11,53225.8,1.26324,2.01726,1.35099,0.95848,0.93937,0.97944,0.77619,0.81903,1.00198,0.89964,0.000901,0.000901,0.000901
12,57864.1,1.25716,1.99228,1.35083,0.95667,0.93692,0.98085,0.78751,0.79926,0.96961,0.89974,0.0008911,0.0008911,0.0008911
13,62454.1,1.24122,1.96448,1.33713,0.94442,0.95687,0.98664,0.8021,0.77294,0.94198,0.89677,0.0008812,0.0008812,0.0008812
14,67216.4,1.22824,1.9238,1.32867,0.94858,0.9707,0.98529,0.81242,0.73076,0.89,0.88855,0.0008713,0.0008713,0.0008713
15,71816.2,1.21868,1.89976,1.32318,0.96414,0.95019,0.98669,0.81311,0.74316,0.87833,0.88175,0.0008614,0.0008614,0.0008614
16,76426.6,1.21295,1.89087,1.31799,0.96045,0.96583,0.98757,0.81599,0.73087,0.852,0.88134,0.0008515,0.0008515,0.0008515
17,81044.4,1.19885,1.85797,1.31065,0.95589,0.96783,0.98793,0.82699,0.70885,0.83974,0.87331,0.0008416,0.0008416,0.0008416
18,85873.1,1.19458,1.85041,1.3054,0.96696,0.95687,0.98588,0.82774,0.70104,0.83763,0.87058,0.0008317,0.0008317,0.0008317
19,90751,1.19141,1.83196,1.30182,0.96976,0.95734,0.98934,0.83765,0.68531,0.82106,0.86423,0.0008218,0.0008218,0.0008218
20,95397.6,1.18368,1.8059,1.29706,0.97124,0.95431,0.98831,0.84417,0.64984,0.79899,0.85795,0.0008119,0.0008119,0.0008119
21,100070,1.16795,1.78449,1.29112,0.96082,0.96562,0.98898,0.83958,0.66904,0.78759,0.86128,0.000802,0.000802,0.000802
22,104742,1.16423,1.76044,1.28857,0.97271,0.96328,0.98765,0.83293,0.67137,0.75806,0.85948,0.0007921,0.0007921,0.0007921
23,120878,1.15728,1.74908,1.28293,0.97458,0.95722,0.99001,0.83676,0.68729,0.76987,0.86262,0.0007822,0.0007822,0.0007822
24,139708,1.15595,1.75008,1.28271,0.97535,0.95783,0.99008,0.85259,0.63824,0.76014,0.85432,0.0007723,0.0007723,0.0007723
25,181897,1.14221,1.73144,1.27441,0.96978,0.96507,0.99019,0.86075,0.59989,0.74097,0.84335,0.0007624,0.0007624,0.0007624
26,195180,1.14291,1.72614,1.27395,0.968,0.96847,0.98999,0.85492,0.62617,0.732,0.84659,0.0007525,0.0007525,0.0007525
27,199722,1.1323,1.70199,1.26901,0.96631,0.96809,0.99107,0.85902,0.61645,0.73065,0.84169,0.0007426,0.0007426,0.0007426
28,204312,1.13524,1.69782,1.26811,0.97069,0.96351,0.99086,0.85825,0.60771,0.72874,0.83865,0.0007327,0.0007327,0.0007327
29,208831,1.12282,1.66793,1.26417,0.97872,0.95237,0.99065,0.86554,0.59737,0.71832,0.8356,0.0007228,0.0007228,0.0007228
30,213316,1.11561,1.66954,1.25769,0.98012,0.95998,0.99039,0.86774,0.58396,0.70111,0.83274,0.0007129,0.0007129,0.0007129
31,217840,1.11278,1.65149,1.25735,0.98096,0.95583,0.99065,0.86611,0.57432,0.70295,0.83166,0.000703,0.000703,0.000703
32,222378,1.10657,1.65517,1.25104,0.9675,0.96682,0.99097,0.87341,0.56836,0.69552,0.82997,0.0006931,0.0006931,0.0006931
33,226886,1.10578,1.63765,1.2509,0.97865,0.95625,0.99071,0.87561,0.55619,0.69183,0.82777,0.0006832,0.0006832,0.0006832
34,231457,1.10268,1.62667,1.25071,0.97517,0.9625,0.99059,0.88083,0.54204,0.68906,0.82501,0.0006733,0.0006733,0.0006733
35,236040,1.09202,1.62101,1.24363,0.97668,0.96081,0.99057,0.88326,0.53774,0.68506,0.82418,0.0006634,0.0006634,0.0006634
36,240623,1.0984,1.60786,1.24669,0.97828,0.9603,0.99111,0.88397,0.53542,0.68178,0.82366,0.0006535,0.0006535,0.0006535
37,245292,1.08643,1.60583,1.23956,0.97402,0.96249,0.99089,0.88694,0.53423,0.67996,0.82288,0.0006436,0.0006436,0.0006436
38,249780,1.08447,1.60589,1.23948,0.9739,0.96593,0.99081,0.88841,0.52888,0.6755,0.82174,0.0006337,0.0006337,0.0006337
39,277990,1.0796,1.58569,1.23542,0.97279,0.96464,0.99074,0.88903,0.52816,0.67201,0.82134,0.0006238,0.0006238,0.0006238
40,287554,1.07704,1.57534,1.23289,0.97834,0.95813,0.99086,0.88888,0.52877,0.66738,0.82125,0.0006139,0.0006139,0.0006139
41,292109,1.06533,1.54722,1.22551,0.97809,0.95902,0.99081,0.88932,0.52959,0.66289,0.82138,0.000604,0.000604,0.000604
42,296722,1.06103,1.54312,1.22465,0.97735,0.95902,0.99061,0.88948,0.52701,0.65765,0.82093,0.0005941,0.0005941,0.0005941
43,301282,1.06109,1.54661,1.22429,0.97649,0.96142,0.99066,0.88832,0.52716,0.65543,0.82127,0.0005842,0.0005842,0.0005842
44,305868,1.05576,1.53011,1.22042,0.9744,0.96547,0.9908,0.8872,0.52506,0.65381,0.82109,0.0005743,0.0005743,0.0005743
45,310410,1.05262,1.51811,1.2171,0.97413,0.96652,0.99093,0.88841,0.52531,0.65059,0.82108,0.0005644,0.0005644,0.0005644
46,314951,1.04096,1.50683,1.21223,0.97503,0.96757,0.99108,0.8896,0.52424,0.64788,0.82085,0.0005545,0.0005545,0.0005545
47,319508,1.04683,1.51394,1.21596,0.97588,0.96859,0.99103,0.88977,0.52406,0.64569,0.82066,0.0005446,0.0005446,0.0005446
48,324035,1.04091,1.50208,1.21314,0.97605,0.96948,0.99091,0.8898,0.5236,0.64494,0.82069,0.0005347,0.0005347,0.0005347
49,328573,1.04496,1.49439,1.21625,0.97573,0.96929,0.99101,0.88986,0.52409,0.6431,0.82094,0.0005248,0.0005248,0.0005248
50,333130,1.02788,1.47381,1.20555,0.97601,0.96922,0.99103,0.8901,0.52363,0.64158,0.82092,0.0005149,0.0005149,0.0005149
51,337645,1.02911,1.48176,1.2046,0.97665,0.96835,0.99101,0.89032,0.52287,0.63901,0.82069,0.000505,0.000505,0.000505
52,342156,1.0233,1.47307,1.20189,0.97661,0.96836,0.99105,0.89092,0.52166,0.63739,0.82049,0.0004951,0.0004951,0.0004951
53,346636,1.01769,1.46905,1.19901,0.97648,0.96841,0.99102,0.89061,0.52247,0.6363,0.82059,0.0004852,0.0004852,0.0004852
54,351105,1.0198,1.46617,1.20086,0.97642,0.9686,0.99101,0.89003,0.52309,0.63466,0.82054,0.0004753,0.0004753,0.0004753
55,355568,1.01628,1.45397,1.19997,0.9764,0.96899,0.99104,0.88967,0.52277,0.6335,0.82025,0.0004654,0.0004654,0.0004654
56,364872,1.01239,1.43968,1.19637,0.97626,0.96875,0.99108,0.88995,0.52251,0.63218,0.82014,0.0004555,0.0004555,0.0004555
57,369459,1.00487,1.43339,1.19162,0.97639,0.96875,0.99111,0.8899,0.52181,0.63059,0.81994,0.0004456,0.0004456,0.0004456
58,374056,1.00196,1.42434,1.18948,0.97656,0.96875,0.99111,0.89008,0.52107,0.62916,0.81987,0.0004357,0.0004357,0.0004357
59,378516,1.00373,1.43096,1.18961,0.97653,0.96875,0.99115,0.89076,0.51846,0.62799,0.81914,0.0004258,0.0004258,0.0004258
60,382986,0.99499,1.41207,1.184,0.97664,0.96813,0.99118,0.89108,0.51688,0.62619,0.81861,0.0004159,0.0004159,0.0004159
61,387431,0.99513,1.39251,1.18566,0.97696,0.9675,0.99123,0.89189,0.51513,0.62446,0.81808,0.000406,0.000406,0.000406
62,391967,0.98935,1.40565,1.18395,0.97698,0.9675,0.99125,0.8923,0.5133,0.62308,0.81777,0.0003961,0.0003961,0.0003961
63,396498,0.98409,1.39409,1.18018,0.97193,0.97328,0.99127,0.89283,0.51193,0.62181,0.81745,0.0003862,0.0003862,0.0003862
64,401048,0.98229,1.38651,1.17939,0.97242,0.97313,0.99131,0.89328,0.51202,0.61991,0.8173,0.0003763,0.0003763,0.0003763
65,405551,0.97874,1.3806,1.17693,0.97256,0.97395,0.99133,0.89324,0.51222,0.61905,0.81713,0.0003664,0.0003664,0.0003664
66,410160,0.97985,1.37734,1.17773,0.97265,0.975,0.99142,0.89385,0.51211,0.61787,0.81705,0.0003565,0.0003565,0.0003565
67,414760,0.96723,1.35125,1.17074,0.97317,0.975,0.99144,0.89382,0.51193,0.61696,0.81676,0.0003466,0.0003466,0.0003466
68,419331,0.97399,1.37383,1.17426,0.97481,0.97562,0.99165,0.8936,0.51157,0.61472,0.81651,0.0003367,0.0003367,0.0003367
69,423867,0.96749,1.36588,1.17183,0.97533,0.97562,0.99169,0.89387,0.51137,0.61191,0.81627,0.0003268,0.0003268,0.0003268
