epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1571.95,1.67621,1.69761,1.60835,0.57137,0.46111,0.49482,0.2833,1.95738,2.10841,1.99555,0.0700116,0.00333204,0.00333204
2,3209,1.51725,1.40705,1.51493,0.76132,0.678,0.74673,0.47899,1.39509,1.35715,1.52546,0.0398797,0.0065334,0.0065334
3,4684.86,1.40553,1.24049,1.43664,0.7376,0.72147,0.77749,0.52234,1.25266,1.12039,1.3857,0.00961569,0.00960276,0.00960276
4,6017.17,1.31562,1.10932,1.38428,0.81383,0.6958,0.80912,0.55433,1.25172,1.11404,1.43293,0.009406,0.009406,0.009406
5,7310.89,1.24423,1.02603,1.33284,0.85414,0.68184,0.78871,0.53677,1.29297,1.08317,1.44086,0.009208,0.009208,0.009208
6,8607.19,1.20479,0.96722,1.30883,0.80451,0.79945,0.86962,0.60042,1.19456,0.91475,1.3702,0.00901,0.00901,0.00901
7,9895.64,1.15731,0.92222,1.28722,0.85482,0.74231,0.85429,0.59223,1.20483,0.89448,1.3914,0.008812,0.008812,0.008812
8,11182.3,1.14139,0.88246,1.27494,0.83541,0.77476,0.85975,0.6091,1.1569,0.90998,1.3385,0.008614,0.008614,0.008614
9,12470.8,1.09677,0.85294,1.25306,0.82081,0.81649,0.88321,0.62568,1.1425,0.8739,1.33049,0.008416,0.008416,0.008416
10,13754.8,1.08521,0.83128,1.24416,0.8372,0.80048,0.87465,0.62269,1.15688,0.81539,1.34706,0.008218,0.008218,0.008218
11,15022.4,1.06024,0.80155,1.22739,0.8645,0.78884,0.87197,0.61985,1.16158,0.81832,1.36813,0.00802,0.00802,0.00802
12,16291,1.04566,0.79401,1.22137,0.85703,0.7959,0.88547,0.65159,1.10821,0.82099,1.32319,0.007822,0.007822,0.007822
13,17551.3,1.03149,0.7618,1.21504,0.86027,0.76698,0.87693,0.65172,1.08459,0.84119,1.32982,0.007624,0.007624,0.007624
14,18815.5,1.0164,0.75048,1.20747,0.86649,0.82658,0.90066,0.66946,1.06687,0.74349,1.30054,0.007426,0.007426,0.007426
15,20062.2,0.99938,0.73503,1.2011,0.85427,0.84149,0.90899,0.67292,1.0649,0.75727,1.30769,0.007228,0.007228,0.007228
16,21313.3,0.99981,0.72972,1.19856,0.8246,0.86609,0.90734,0.68395,1.04468,0.70515,1.27017,0.00703,0.00703,0.00703
17,22579.7,0.98135,0.70534,1.18416,0.84983,0.78456,0.85344,0.65688,1.08777,0.92438,1.34181,0.006832,0.006832,0.006832
18,23834.4,0.96969,0.69465,1.17669,0.86367,0.82822,0.89917,0.6826,1.02896,0.72889,1.27963,0.006634,0.006634,0.006634
19,25085.5,0.96285,0.68199,1.17623,0.87282,0.78092,0.86889,0.6699,1.049,0.97596,1.31741,0.006436,0.006436,0.006436
20,26332.6,0.94901,0.66708,1.16987,0.85593,0.83834,0.90275,0.68759,1.04229,0.73691,1.27726,0.006238,0.006238,0.006238
21,27578.3,0.94486,0.65541,1.16951,0.8533,0.81267,0.88297,0.67797,1.04536,0.78514,1.30027,0.00604,0.00604,0.00604
22,28828,0.93803,0.65237,1.162,0.8829,0.8623,0.92119,0.70529,1.00764,0.67059,1.26202,0.005842,0.005842,0.005842
